sample,PG,mPG
0,0.1753869173071683,0.1575005610625899
1,0.1777455102436476,0.16574484489403998
2,0.1729330092258965,0.16307544492316675
3,0.1637184178787585,0.16919807147090762
4,0.160084910284473,0.16344309565849763
5,0.1467006109377147,0.1733647072652165
6,0.1477697821641343,0.21381543491422994
7,0.1497603403348276,0.2166270138320114
8,0.1432261095794922,0.1830684106616198
9,0.1384401070809024,0.17960572144797735
10,0.1442330078030645,0.1718548812792319
11,0.1448927074139737,0.1775844711695891
12,0.1446611515590187,0.15450870932213767
13,0.1429662379228678,0.1647449466470991
14,0.1477549100129712,0.1603697892776885
15,0.141922682214434,0.16843616841915487
16,0.134672011502525,0.1993320064467048
17,0.1355473909240174,0.19166773638400345
18,0.1311778427241772,0.19646094680009116
19,0.1352073513768168,0.1892566682082958
20,0.1384266518374428,0.1910579369677423
21,0.1400439212483901,0.17672545841074452
22,0.145323344860048,0.18568258225025255
23,0.1366613455650933,0.15950279337611586
24,0.1386474776039639,0.1680542815318973
25,0.1435312722455163,0.1700643583914902
26,0.1453345142274016,0.16689968502162
27,0.1436158339455807,0.16231497740743936
28,0.1444012605857662,0.16123064979727683
29,0.1406763700540364,0.14605088393927004
30,0.1473457035803158,0.1470917290872354
31,0.1392176341552401,0.14982156328501697
32,0.1466156255360531,0.15448085767564781
33,0.1338580507093595,0.1441784839114403
34,0.1327684457502394,0.1423266471636253
35,0.1300352210304654,0.14233481601377784
36,0.1308461914952732,0.1449600404925502
37,0.1454126564176305,0.14518744638034362
38,0.1463963215889426,0.13896526079401506
39,0.1382653579628021,0.15445729344564094
40,0.1370092373278618,0.19271093553038485
41,0.130804411915799,0.20486551550866397
42,0.1390913609320217,0.20041758020684824
43,0.1442609147224837,0.18153888588937533
44,0.1491197149487629,0.16213629815961922
45,0.1430655361600715,0.17170167482884405
46,0.1468091473033897,0.16686739172736523
47,0.1405485182943524,0.16967937651483736
48,0.1482303538219375,0.17556766998428508
49,0.1504402481577959,0.1747753758907998
50,0.1616041989320541,0.16737004944415373
51,0.1695021536344728,0.1720459515738898
52,0.1745899574217468,0.17185965803619108
53,0.1823694484463406,0.15412365138199882
54,0.1940555444554045,0.15395763102021973
55,0.2012040150163113,0.1660132745737858
56,0.1890339518737249,0.15354351074980077
57,0.1941589362646006,0.14153597537360682
58,0.1837750729628742,0.16319985042270155
59,0.1856819145864844,0.15629074138022334
60,0.1782637583313444,0.15907492654946115
61,0.176387748187427,0.15647094169126036
62,0.1738865832384662,0.1573610614439433
63,0.170549440704685,0.1783939413714708
64,0.1712847702001136,0.15051865863016878
65,0.1789672178594853,0.14798908495698912
66,0.1904427612363843,0.1566666695934409
67,0.195022628593299,0.17193130329994644
68,0.1877864277087645,0.15809795356681144
69,0.2110860823655751,0.13398956086079578
70,0.2156818437141318,0.12936883711656075
71,0.2084665680548278,0.13536230398822705
72,0.1987241612721592,0.13806008797136124
73,0.1881068946009582,0.1366771872017258
74,0.1819247374263515,0.13206954108537072
75,0.1883829604146982,0.1403419393363127
76,0.1891256795354063,0.13301359303251792
77,0.1957192983048459,0.12959971728129574
78,0.2169640975506586,0.13667863550417184
79,0.2021401774217635,0.1503472363117972
80,0.2016676514853765,0.14580571011301408
81,0.1874869590924257,0.14679197061508567
82,0.1932262017637501,0.15087593724838755
83,0.1866507237588208,0.1803624865104433
84,0.1883049869734392,0.16801694599376407
85,0.1831281834381087,0.16413947825118685
86,0.1903607749066634,0.184244743799896
87,0.1945000647284614,0.16001819925811336
88,0.1973891277754097,0.16980165457896826
89,0.1944448833914498,0.1603592836142884
90,0.1936866338485349,0.1544275293810133
91,0.197871930776858,0.15031316714197412
92,0.1927747731288245,0.16287706488388756
93,0.1991699670667406,0.18517505396839667
94,0.2062338247199959,0.17046748586872693
95,0.2035640177025956,0.15869043420507856
96,0.2034705808557046,0.1752828572973226
97,0.1886569849208448,0.18786704344413946
98,0.1934126678477713,0.17746437661984013
99,0.1862046583737473,0.18407250874027625
100,0.1858117585473328,0.17323264336197042
101,0.1831088768875894,0.1857108450591011
102,0.1775841726493644,0.17751798041195224
103,0.1780255818295843,0.1667668563493819
104,0.1764844769066494,0.15594148180048395
105,0.1818629042102925,0.1880277032205176
106,0.1686296491463646,0.19154606172586733
107,0.1731144512406793,0.19675949675072027
108,0.1667478233617377,0.19907673419961083
109,0.1684628457435726,0.1865174824023367
110,0.162707099692964,0.18553450746683664
111,0.1576725427208162,0.19591863304216972
112,0.1654771615982199,0.17889856866408693
113,0.1625677208335668,0.17218098693515158
114,0.1687519326327948,0.16362225919620377
115,0.171038993919466,0.1721480075872825
116,0.1778485062998237,0.17354547085724611
117,0.1714626960506501,0.16472795367658286
118,0.1736071886094012,0.15315713698920264
119,0.1791581103865583,0.18077547512744527
120,0.1720415194441651,0.1840553656576718
121,0.1765832573888469,0.19764205363890314
122,0.1944186691076897,0.14081103751045146
123,0.1863047892716821,0.14988205872992771
124,0.1980809403546019,0.15438680348596806
125,0.1885655346667394,0.20810176810790043
126,0.1861233309096387,0.20002415597815446
127,0.1793222031440152,0.204381211103456
128,0.1921402974210412,0.199174444864633
129,0.182894612656769,0.19342821758245599
130,0.1862208724606381,0.13977488342911926
131,0.1724171007522132,0.14786503901427503
132,0.1813552722327923,0.13883011069809562
133,0.1759358281555578,0.13821189515935006
134,0.1805629110250785,0.14339794599713362
135,0.1804686501548193,0.14539275578930422
136,0.1805045848022787,0.14272729583420576
137,0.1795220239809473,0.13908898597461908
138,0.1846997350448875,0.1424292809514134
139,0.1908886216096721,0.14304159984172996
140,0.1921860658321525,0.16122950763210359
141,0.1846721025657344,0.1604234443028351
142,0.1807541611344142,0.1555766356374389
143,0.1952414649187299,0.15626541201938735
144,0.1945187721184364,0.15462634201262052
145,0.1915034671555776,0.15921295240085498
146,0.1892114759703578,0.16194005030527822
147,0.1834740541056366,0.1671634329150004
148,0.1818841080529041,0.15874298237466275
149,0.1715841246092364,0.15837381074444645
150,0.174854041432301,0.14890294545500102
151,0.1783011505531382,0.14670364411586656
152,0.174326578020111,0.14933292343290544
153,0.182101066153193,0.18760633234822535
154,0.1816426086058574,0.1481086326150598
155,0.1955972935937299,0.14728993583737038
156,0.1846854122712553,0.13901931593587016
157,0.1891592028044943,0.14475293352106966
158,0.1677965881581201,0.1421081756566177
159,0.1727814827198849,0.14495159704522845
160,0.1696379002672456,0.15254115574616914
161,0.1742436952971989,0.14855186724727373
162,0.1707038464080087,0.1479032514380507
163,0.1657929157879138,0.1502824832111691
164,0.1656102170472664,0.16395028818846227
165,0.1662831377938856,0.16167314811473749
166,0.1674929802018084,0.1626141174806234
167,0.1623937902897662,0.1829508881887718
168,0.1642429668788787,0.18858483265184176
169,0.1760546130260415,0.17230560125307054
170,0.1879651546208056,0.17696424009440503
171,0.1844227154898863,0.1667262531406621
172,0.2042182882112682,0.1262462368111763
173,0.1946707693952009,0.13451814876239998
174,0.2044097161218701,0.13502841447493133
175,0.2078131759650094,0.13316830396632776
176,0.2120866920918531,0.13038361785924335
177,0.2130438023184,0.14138224598977517
178,0.2104049526874278,0.15636135634394677
179,0.2118895901816462,0.1598597072598535
180,0.2067150663864913,0.16166792739815128
181,0.1985408247539184,0.16527233602194696
182,0.1935092873036943,0.1588277484686777
183,0.2039908743565305,0.16464090782441423
184,0.2124034160868543,0.16176277180124593
185,0.2004486025725102,0.1647083386802361
186,0.1944200504290576,0.16354769092456375
187,0.1859390805450281,0.16363948858771266
188,0.1822235974283854,0.13783293037411282
189,0.1855539660205983,0.1369734316167104
190,0.1960610734064038,0.13953919144058735
191,0.1879500183209108,0.1356133588578832
192,0.2032315674488791,0.1354851925327133
193,0.2220158263537475,0.1359683970459478
194,0.219470028221604,0.19694387071769834
195,0.199607462294233,0.14430216716990177
196,0.2011889740885477,0.13834388850865978
197,0.1898673881949348,0.142112197882504
198,0.195122453759136,0.20174346840051022
199,0.2001347308637269,0.19427966818722325
200,0.2002388181961753,0.19715922960441212
201,0.2056444567659584,0.20574967883378723
202,0.1957330931852858,0.20355776111545762
203,0.1965039018994921,0.19933764768759463
204,0.1983188593883607,0.2018122804929008
205,0.200552798116736,0.19763605291616573
206,0.209293875375603,0.20911180729644707
207,0.2128807366681471,0.16490405055142476
208,0.2142731489196693,0.17479295355772595
209,0.2104621661784226,0.16060019650719104
210,0.2003870403174361,0.17180001540390225
211,0.2017933825482814,0.16996712332084699
212,0.213450407433766,0.1686602434233273
213,0.216257606165515,0.17165187211779892
214,0.2288674526068946,0.16887926484163004
215,0.2341964079057532,0.1632585436318344
216,0.2403084779559122,0.17126002703187085
217,0.2266693818498902,0.16878766835588863
218,0.231480293513064,0.16421441108241977
219,0.2300458250255766,0.16665840811846222
220,0.2136638976880981,0.16877540080310455
221,0.223440541927743,0.17142081868621267
222,0.2265077799373633,0.17227752188386197
223,0.2344011294652383,0.18036080652074993
224,0.2407803064569098,0.21425273280532064
225,0.2519043913107613,0.21500025836737516
226,0.2482566115034481,0.1783407010307493
227,0.2390273740346533,0.178787953537036
228,0.233033289168686,0.17565123421230547
229,0.2323204096115007,0.17730060343479342
230,0.2218474891776304,0.17928781562340493
231,0.2098512435687226,0.17289319955296326
232,0.197250287241618,0.16664108876911882
233,0.1885346906020655,0.16093695196571517
234,0.1960949717111387,0.15458012010084843
235,0.2012230773286532,0.1558294028057755
236,0.2063617593703998,0.16398591404255428
237,0.2021707404163252,0.15479535464897798
238,0.1977541163199924,0.15619011918561057
239,0.202445692913033,0.16094831127041742
240,0.1961100338726446,0.15766746341404303
241,0.1868551180782518,0.16581754829982384
242,0.1884495566192797,0.16558969125768613
243,0.1856575436458666,0.1673190656022114
244,0.1928006285591764,0.16353904065173036
245,0.1832892858641919,0.1594549469563975
246,0.1837899773997117,0.15858812342517775
247,0.1872981742798946,0.15959693178810186
248,0.19355173086885,0.16101931760752763
249,0.1845357210821929,0.1584953898953729
250,0.1910350524567949,0.14545601620472803
251,0.1901226440750342,0.14042093030451028
252,0.1855748217651939,0.14175498232732048
253,0.1812520597464629,0.15756222372089193
254,0.1867225286876684,0.15278584135190731
255,0.2047143008204915,0.1513499574297263
256,0.2159235819802442,0.15580375545754213
257,0.2288138736256152,0.15203952530265513
258,0.224059823699594,0.15846390746725847
259,0.2353786577262567,0.14925492356255127
260,0.2220389192487259,0.1472993361237133
261,0.2224536246086685,0.15033784194974661
262,0.23113730978866,0.16843214296724537
263,0.2191814025497573,0.1642758807178085
264,0.2282211126131681,0.20636025334050828
265,0.2199406484764905,0.19465010724515697
266,0.2243284898439408,0.15013421880504635
267,0.2186490750607973,0.17167061029180897
268,0.2090389774642583,0.14868971161869493
269,0.2146095392022647,0.1742830280320738
270,0.2141502389118695,0.1931407549667793
271,0.2239279511304759,0.18293234142497244
272,0.2201556730611372,0.18296751361170563
273,0.2315870572760783,0.1874976139071979
274,0.2219246732128385,0.17820477842723864
275,0.2213802799431002,0.1885859736546204
276,0.2060347952879986,0.18013621201947386
277,0.1977237532137177,0.19308537376524312
278,0.202420393752901,0.16099961031753626
279,0.211771787268019,0.16280429731412202
280,0.2145879079534476,0.16254799761389993
281,0.207926484666015,0.20290837000679293
282,0.1909082420055859,0.1851017519181015
283,0.2075718317399326,0.15864350436770025
284,0.198581149506179,0.160555920162436
285,0.2026309294407496,0.13714541622920703
286,0.2133074434111406,0.14562043199935332
287,0.2073785042878685,0.17611151885435453
288,0.2096712225826431,0.17844830099861528
289,0.2085675970618675,0.13444019662020143
290,0.2092299816563409,0.1471061329048446
291,0.2059885407941543,0.14730158541924793
292,0.2002397901348049,0.14740155725363255
293,0.2000878851848115,0.14765044294598761
294,0.1815182685491973,0.24978717488519245
295,0.1773473755741752,0.23987983325806572
296,0.1761827873545283,0.1614929533462712
297,0.1760257108575172,0.1696861517656473
298,0.1780125500402118,0.16814506008197963
299,0.1880892285054396,0.1902374461985385
300,0.1839774343358262,0.20068912693878949
301,0.1872555439244074,0.19086962661945323
302,0.1774734007919336,0.18862349693718344
303,0.1800064569184388,0.14766119650044668
304,0.1711498732847731,0.15473131844808222
305,0.1711573359905116,0.1478077655958045
306,0.1668309054895821,0.1463343696603213
307,0.1785553535926395,0.15100839418888143
308,0.1768376326899063,0.14414359766134865
309,0.1890832399647845,0.13541962551324466
310,0.1994479345568465,0.14542226939010125
311,0.1919653540617023,0.15147791307424116
312,0.1800115024165277,0.22055751586988237
313,0.1666390068305229,0.21709516918485328
314,0.1780082521675287,0.13459514795220945
315,0.1777431233784607,0.14244423783230412
316,0.1819488302890064,0.1487248532249549
317,0.1764921924184468,0.15688878228519815
318,0.1752864145795489,0.16933895430590082
319,0.1680848970477203,0.18173576907360928
320,0.1697366978250575,0.13527400151265392
321,0.1741469345779445,0.13845492307833007
322,0.1738773756711312,0.18973843531442794
323,0.1700205798470033,0.18562950907010511
324,0.1702852850776686,0.18395957056662515
325,0.175577835785742,0.17894421444999897
326,0.1816961533540856,0.1755754009088499
327,0.1773443847245382,0.15119816485191484
328,0.1855902960763579,0.15778993693718366
329,0.1829122715698215,0.164337318435091
330,0.180635269673377,0.15579104261096027
331,0.1690991181766677,0.15844800993161143
332,0.173379392840229,0.16000190936403663
333,0.1840837180439738,0.15590424494265337
334,0.1843901120663661,0.16079223563835224
335,0.1758519521066705,0.1433587170118153
336,0.1778159684434187,0.14180719186854257
337,0.1766341743076215,0.1498701192601529
338,0.1643263757337015,0.14808767986344815
339,0.1711671152772632,0.14737210717872057
340,0.1616714756128464,0.18333962406401624
341,0.1558980189684692,0.17860828010160512
342,0.1641784015147566,0.18680302745361752
343,0.1702803586851416,0.13972756746366527
344,0.1546667185546194,0.14089762965009547
345,0.1590730766803085,0.1943740246487904
346,0.1495108163567129,0.19416693663785103
347,0.1420718072882418,0.14875100356595233
348,0.1409179495799491,0.1497926100111927
349,0.137680193664086,0.16132586413614763
350,0.1336927072869531,0.1494573641107726
351,0.1414665006225489,0.15943949173768984
352,0.1399067912954897,0.1414538963279377
353,0.1500961662782393,0.14316850699679168
354,0.1464048256233154,0.16605645294093008
355,0.1354434752424249,0.16741303986100026
356,0.138417590480243,0.16691194779641294
357,0.1333663859240032,0.16771338733117996
358,0.1429720189173888,0.16241946459435674
359,0.1408104816159358,0.1610808860967521
360,0.1371816407732892,0.1713431554212136
361,0.1351944099925397,0.17302837854631165
362,0.1348422296062648,0.2522536579406321
363,0.1381636668164947,0.1752189115203795
364,0.135253845750746,0.1770529674757004
365,0.1315727010228532,0.15166873874475933
366,0.1404572019301836,0.1499066869506528
367,0.1469568705255866,0.14907613130266198
368,0.1617898346807681,0.1461320104353122
369,0.1623269311220597,0.1450910028292104
370,0.1613625717631098,0.1450430747754972
371,0.1540654341092812,0.20372093847562756
372,0.1611644994127571,0.22803715800788227
373,0.1571818077712218,0.2757773323206752
374,0.1609130263123093,0.1577871414438675
375,0.1610298692647561,0.13384976020160172
376,0.152705183411038,0.1432956094143254
377,0.1556312909443543,0.1469632080746572
378,0.1513176787610011,0.16278599799470947
379,0.1488362739644593,0.15697081802471474
380,0.1560264365140998,0.1632344281380693
381,0.1614723581802274,0.16032162016475662
382,0.1588934169374089,0.1845651227512096
383,0.1763543985141841,0.18351445257931207
384,0.1790825517540894,0.18123440110000652
385,0.1702185683723314,0.18897326612517504
386,0.1665695223902841,0.16891257313766522
387,0.1687221738665364,0.18249576979898624
388,0.1782703928481543,0.17821045652249398
389,0.1683777409911141,0.17384694334265383
390,0.1651295543625299,0.1386664282955915
391,0.1724455585864566,0.1429822558928234
392,0.1816387846039416,0.13896373920201602
393,0.1762782568399382,0.14231713469350335
394,0.171924375211246,0.20093796712917544
395,0.1623026937086919,0.19375367151552994
396,0.1521005689527153,0.19024469819431247
397,0.1577025318096459,0.16739398963713856
398,0.1554550639285916,0.17324015673711785
399,0.1557645473065514,0.1576730328506456
400,0.1428434132631447,0.1675104555920576
401,0.1441524083258131,0.16479434371624962
402,0.1540041253453009,0.17324050566032823
403,0.1537340731446228,0.1821274733593594
404,0.1438757344145265,0.18296419883797516
405,0.1343519964597386,0.18866455926711775
406,0.1402178707384809,0.1738432344971001
407,0.1329653569704061,0.18412649858501473
408,0.1386637661794035,0.18269429298632398
409,0.1443722600748943,0.18690796878080454
410,0.1463532458962057,0.1451838890636062
411,0.1382402041165257,0.138629067279013
412,0.1455122547801623,0.13460684944176077
413,0.1530472080579573,0.13269933622774538
414,0.1540449646283122,0.14034083773529157
415,0.1518330778046916,0.14422352405203437
416,0.1474426529275301,0.139120611095874
417,0.146937198951875,0.14608601600291773
418,0.1519864327580084,0.17432691163215108
419,0.1458623014764044,0.1622889103209007
420,0.1523757372126536,0.15710579940946495
421,0.1579103680333969,0.16607460365082768
422,0.1578729284481581,0.16694685601487153
423,0.1496252707312123,0.15462756745102135
424,0.1436558975304121,0.1386901785892614
425,0.1491351674628822,0.18335876781301078
426,0.1567302507159305,0.17715354707681671
427,0.1539423011441086,0.16262265151181396
428,0.1431269240117623,0.17041678924111325
429,0.1444911742952651,0.16075798494390625
430,0.1373038246699616,0.17046356590722891
431,0.136764507879954,0.16560682000419594
432,0.1452999339731699,0.16221382166127163
433,0.1466499083992196,0.1633665938759618
434,0.158470935187675,0.17257863097035891
435,0.1537780455808767,0.18886149155980297
436,0.1475247453888138,0.15346284588729076
437,0.1357078821107477,0.14814463894630459
438,0.1429926635813651,0.16300142627238162
439,0.1401445621418697,0.17389573598047342
440,0.1435220275053735,0.17231637728913551
441,0.1431058658081163,0.15735550877948826
442,0.1494352349938796,0.14389069879196922
443,0.1410634029200219,0.14853172675746992
444,0.1399076584908259,0.15109000992673477
445,0.1515232868423574,0.14438961899452352
446,0.1481746091738768,0.145602275781858
447,0.1538964701204031,0.14323902278356135
448,0.1513269837448843,0.14947036287146143
449,0.1440441479126934,0.14410337853191624
450,0.1404290324433835,0.14316443584451788
451,0.1362264509610322,0.17305301260698472
452,0.1315608441405848,0.16020775595598688
453,0.1462593098226148,0.1558000903442114
454,0.1412766561237753,0.15478860818542933
455,0.1379031161377413,0.15376234053096755
456,0.1346379826789772,0.18910449127203058
457,0.1332628252715611,0.1726234860291746
458,0.1471531060944085,0.16834409010408338
459,0.1524804723490076,0.17570420102922021
460,0.1613067170406563,0.1654270952136553
461,0.1543246806075587,0.16194199953647376
462,0.1486467640664051,0.1668821639257758
463,0.1498732558375475,0.16619735431505647
464,0.1554373878693872,0.16733106652091798
465,0.1450339484790883,0.1667522684482349
466,0.1352047944215725,0.16503434848878049
467,0.1353962868688887,0.15532249744404494
468,0.1368301196783805,0.14686102551453342
469,0.1438447646839671,0.1430735249967828
470,0.1506513452801193,0.1498741395242878
471,0.1527010543957668,0.13931805581594903
472,0.1519893832760984,0.14418160754989517
473,0.1524042354236177,0.17402907918100768
474,0.1496117181884685,0.17041081947791412
475,0.1417239975794151,0.17416789776090616
476,0.1519236816920493,0.1659950439016646
477,0.1624244268597599,0.17297794653401782
478,0.1560447966247526,0.16820317295293905
479,0.154507710386832,0.16786673048688383
480,0.1565273141287614,0.17302034354752147
481,0.159684986143377,0.19556125390243062
482,0.1579951901260195,0.1714808989375286
483,0.1658705093924351,0.16601557690954885
484,0.1558388226283073,0.18575493270609145
485,0.1703139374532638,0.1774933054704782
486,0.1569493661462561,0.153412261895844
487,0.1595682829906132,0.14592294350688118
488,0.1534775569231355,0.17013921830828138
489,0.1533715925428755,0.1723728197410803
490,0.1529206229458721,0.17052738051911878
491,0.1504260232445211,0.15144920171144474
492,0.1529984089287413,0.15177187235193884
493,0.1584994295907199,0.15338845036733634
494,0.1581963709654299,0.14493624452437762
495,0.1619078161619511,0.1533163601531906
496,0.1870676236144562,0.14463280006926468
497,0.1881909798380914,0.15409013903022373
498,0.1771496474186829,0.1547508003265275
499,0.1751863247689987,0.15133741902071834
500,0.1726720047967562,0.15839623188670304
501,0.185282428490028,0.15140912955444003
502,0.1817050632261679,0.1941568885939695
503,0.1728086619527272,0.2001708381716392
